serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
30;Ordro M5, Capture Your Life with the Ultimate 5K Vlog Camera;Ended;3032%;Camera Equipment;Denver, CO;December 18, 2024;Ordro Tech;['https://ordro.online/'];https://www.kickstarter.com/projects/ordro-m5/ordro-m5-cordless-5k-3-axis-gimbal-camera-with-night-vision?ref=discovery_category_newest&total_hits=453&category_id=333;3-Axis Stabilizer | 5K 30fps Footage | 120° Ultra-Wide Angle | Night Vision | AI Tracking Follow | App Control
31;MABO GLOW VND: NEXT GENERATION VND FILTER + DIFFUSION;Ended;137%;Camera Equipment;Berlin, Germany;July 10, 2024;Max Bolle;['https://www.visualminds.clothing/'];https://www.kickstarter.com/projects/maboglow/mabo-glow-vnd-next-generation-vnd-filter-diffusion?ref=discovery_category_newest&total_hits=453&category_id=333;In help with the MABO community we crafted the perfect variable ND filter for you - in combination with the best diffusion: MABO GLOW!
32;Konsivy Pro: 4K Breakthrough Multifunctional WIFI Telescope;Ended;8528%;Camera Equipment;Hong Kong, Hong Kong;September 11, 2024;Record Your Life;[];https://www.kickstarter.com/projects/konsivy/breakthrough-multifunctional-wifi-telescope?ref=discovery_category_newest&total_hits=453&category_id=333;All-in-one: Telescope&Pictures&Video/920mm Equivalent Focal Length/WIFI Module: Download, edit, and share in real-time/Time Lapse Video
33;MAVEN Color Coded Photography & Videography Filters - Wave 2;Ended;82238%;Camera Equipment;Sheridan, WY;July 16, 2024;Michael The Maven;['https://www.michaelthemaven.com/', 'https://www.mavenfilters.com/'];https://www.kickstarter.com/projects/michaelthemaven/maven-color-coded-photography-and-videography-filters-wave-2?ref=discovery_category_newest&total_hits=453&category_id=333;Introducing Dark Polarizers, Variables, Graduated NDs, Infrared 720, Starry Focus, New Cap, NDs, & More!
34;BMPCC 4K/6K Mod Kit;Ended;730%;Camera Equipment;Oamaru, NZ;January 15, 2024;Pod Tech;['https://podtech.shop/'];https://www.kickstarter.com/projects/podtech/bmpcc-4k-6k-mod-kit?ref=discovery_category_newest&total_hits=453&category_id=333;Add a tilting display and integrated V-lock battery mount to your Blackmagic Pocket Cinema Camera 4K / 6K
35;Hyperdolly - Track-Free Robotic Cine Dolly;Ended;415%;Camera Equipment;Sheridan, WY;September 1, 2024;Andrii Statieva;[];https://www.kickstarter.com/projects/andriistatieva/hyperdolly-track-free-robotic-cine-dolly?ref=discovery_category_newest&total_hits=453&category_id=333;Hyperdolly is the ultimate solution for accurate and smooth camera movement on flat surfaces
36;UELERET Smart Camera Box-Redefine Wildlife Photography;Ended;261%;Camera Equipment;Hong Kong, Hong Kong;January 17, 2024;UELERET;[];https://www.kickstarter.com/projects/56840711/ueleret-smart-camera-box-redefine-wildlife-photography?ref=discovery_category_newest&total_hits=453&category_id=333;Automatic shooting / Upgraded camera / High-definition imagery / True 8K video / Multi-camera / Multi-angle arrangement
37;Shimoda Urban Explore;Ended;1446%;Camera Equipment;White Plains, NY;March 21, 2024;Shimoda Designs;['http://shimodadesigns.com/', 'https://www.instagram.com/shimodadesign/', 'https://www.facebook.com/shimodacamerabags/'];https://www.kickstarter.com/projects/shimodadesigns/shimoda-urban-explore?ref=discovery_category_newest&total_hits=453&category_id=333;The camera and travel bag collection for urban adventures.
38;QROV : World First 510° Smart Dashcam for Car |Bike |Camping;Ended;2116%;Camera Equipment;Wilmington, DE;January 12, 2025;Qrov Inc;['http://getqrov.com/'];https://www.kickstarter.com/projects/qrov/qrov-universal-car-bike-camping-4g-dash-camera?ref=discovery_category_newest&total_hits=453&category_id=333;510° Full View | 5K recording | 4G LTE | Live View | Dual lens real 360° | GPS Tracking | Night Vision | SOS Emergency & More
39;All Mount;Ended;108%;Camera Equipment;Cologne, Germany;June 20, 2024;Schnittpunkt UG;['https://www.schnittpunkt.eu/', 'https://www.schnittpunkt.de/', 'https://www.secondwave.eu/'];https://www.kickstarter.com/projects/teleprompter/all-mount?ref=discovery_category_newest&total_hits=453&category_id=333;All Mount is the most flexible mounting system for the media industry.
40;Reveni Labs Camera Tester: Modern Pro-Level Camera Testing;Ended;336%;Camera Equipment;Ontario, CA;August 14, 2024;Matt Bechberger;['https://www.reveni-labs.com/'];https://www.kickstarter.com/projects/mattbechberger/reveni-labs-camera-tester-modern-pro-level-camera-testing?ref=discovery_category_newest&total_hits=453&category_id=333;The ideal companion to any camera repair technician, camera store owner, reseller, or avid collector.
41;REEFLEX G-Series - The Next-Generation of iPhone Lenses;Ended;1805%;Camera Equipment;Rome, Italy;October 23, 2024;REEFLEX;['https://reeflexstore.com/'];https://www.kickstarter.com/projects/reeflex/reeflex-g-series-the-next-generation-of-iphone-lenses?ref=discovery_category_newest&total_hits=453&category_id=333;Transform your iPhone into a powerhouse of creativity and unparalleled image quality, going beyond the built-in camera's limitations!
42;LUMIONIX KOMET: Take Your Photography Above and Beyond;Ended;1846%;Camera Equipment;Middletown, DE;January 8, 2025;Lumionix;['https://www.lumionix.com/'];https://www.kickstarter.com/projects/lumionix/lumionix-komet-take-your-photography-above-and-beyond?ref=discovery_category_newest&total_hits=453&category_id=333;A Camera Trigger packed with: High-Speed, Wireless Flash Control, Timelapse, HDR, AI Suggestion, Geo-Tag, File Manager and more
43;EVO-series: One Circular Filter Combines Threads and Magnets;Ended;579%;Camera Equipment;Hong Kong, Hong Kong;December 29, 2023;H&Y;['https://hy-filter.com/'];https://www.kickstarter.com/projects/revoring/one-circular-filter-combines-threads-and-magnets?ref=discovery_category_newest&total_hits=453&category_id=333;One Filter, Dual Power - Thread it in or Snap it on for Effortless Photography & Videography!
44;Rotolight Anova PRO 3 - Professional LED Lighting;Ended;637%;Camera Equipment;London, UK;July 22, 2024;Rotolight;['https://www.rotolight.com/'];https://www.kickstarter.com/projects/rotolight/rotolight-anova-pro-3-professional-video-led-lighting?ref=discovery_category_newest&total_hits=453&category_id=333;IP65 All-weather Rating | Powerful 22,000 LUX Output | Magic Eye Ambient Light Temp Matching | RGBWW Colour LED
45;Nour Triplet V 2.0/64 Bokeh Control Art Lens;Ended;193%;Camera Equipment;Vienna, Austria;January 19, 2024;Lomography;['http://www.lomography.com/', 'https://www.facebook.com/Lomography', 'https://twitter.com/lomography', 'http://lomographicsociety.tumblr.com/', 'http://newsletter.lomography.com/', 'http://www.instagram.com/lomography'];https://www.kickstarter.com/projects/lomography/nour-triplet-bokeh-control-art-lens?ref=discovery_category_newest&total_hits=453&category_id=333;Discover spherical aberration control with a unique lens for full-frame mirrorless cameras, inspired by scientist Ibn al-Haytham.
46;Next Generation Diffusion: MABO GLOW - Now for your Phone!;Ended;193%;Camera Equipment;Berlin, Germany;January 24, 2024;Max Bolle;['https://www.visualminds.clothing/'];https://www.kickstarter.com/projects/maboglow/next-generation-diffusion-mabo-glow-now-for-your-phone?ref=discovery_category_newest&total_hits=453&category_id=333;We developed a phone clamp equipped with the best diffusion filter on the market: MABO GLOW! Suitable for most phones!
47;SMART CAP Modular Kit For Any Camera Lens And Small Monitor;Ended;106%;Camera Equipment;Utrecht, Netherlands;January 27, 2024;Lolito Equipment;[];https://www.kickstarter.com/projects/lolito/smart-cap-modular-kit-for-any-camera-lens-and-small-monitor?ref=discovery_category_newest&total_hits=453&category_id=333;Universal System to create a Lens Cap | Lens Hood | Filter Holder | Teleprompter | Monitor Hood | Viewfinder | Focus Lever
48;TriLife Tripod - Let Your Photography Evolve;Ended;401%;Camera Equipment;Hong Kong, Hong Kong;March 26, 2024;TriLife;[];https://www.kickstarter.com/projects/trilife-tripod/trilife-tripod-let-your-photography-evolve?ref=discovery_category_newest&total_hits=453&category_id=333;2055mm Length| 360º Rotation | Wireless Remote Control | Portable design | anti-vibration
49;THANOS-PROCINE: 35kg Payload Steadicam for Cinematic Camera;Ended;237%;Camera Equipment;Hong Kong, Hong Kong;October 11, 2023;DigitalFoto;['https://www.digitalfoto.cn/'];https://www.kickstarter.com/projects/dfdigitalfoto/thanos-procine-35kg-payload-steadycam-for-cinematic-camera?ref=discovery_category_newest&total_hits=453&category_id=333;35kg High Payload｜Comfortable Vest Support｜Suitable for Cinematic Camera & Gimbal｜Upgraded Post Sled and Spring Arm
50;OBSBOT Tail Air: AI-Powered 4K PTZ Streaming Camera;Ended;2008%;Camera Equipment;Hong Kong, Hong Kong;January 10, 2024;OBSBOT;['http://www.remo-ai.com/'];https://www.kickstarter.com/projects/obsbot-me/obsbot-tail-air-ai-powered-ptz-streaming-camera?ref=discovery_category_newest&total_hits=453&category_id=333;Expand your video shooting to the next level with AI power and Multicam setup.
51;PMI SmokeNINJA: NextGen Portable Smoke Machine for Creators!;Ended;5006%;Camera Equipment;Hong Kong, Hong Kong;March 31, 2024;PMI Gear;['https://www.pmigear.com/', 'https://www.instagram.com/PMI_gear', 'https://www.facebook.com/groups/825336975970098'];https://www.kickstarter.com/projects/pmigear/smokeninja-next-gen-portable-smoke-machine-for-photography?ref=discovery_category_newest&total_hits=453&category_id=333;"Patented ""Clean Fog"" Technology, 40x output and 100 hours of coil longevity. Lab tested Food-Grade Formula with SGS certification."
52;MOOD+ | Wireless + Reactive Lighting For Events & Content;Ended;340%;Camera Equipment;Toronto, Canada;October 31, 2023;Mood;['https://www.moodlights.io/'];https://www.kickstarter.com/projects/moodlights/mood-wireless-reactive-lighting-system-for-photo-video?ref=discovery_category_newest&total_hits=453&category_id=333;500 Effects, Gradients & Colors • 10+ Hour Battery • Sound-Reactive • Bright • RGBW • 90 CRI
53;KAWA T6/T6 pro Security Camera: Turn Night Into Day;Ended;1063%;Camera Equipment;Hong Kong, Hong Kong;January 18, 2024;KAWA;[];https://www.kickstarter.com/projects/kawa/kawa-t6-t6-pro-security-camera-turn-night-into-day?ref=discovery_category_newest&total_hits=453&category_id=333;Say goodbye to limited color night vision, experience the daytime view at night as well.
54;NITECORE CINE WIND Photography Styling Fan by NP-F Batteries;Ended;226%;Camera Equipment;San Francisco, CA;February 5, 2024;Sysmax;['https://www.youtube.com/channel/UC2ze76sbqabrEgs1q3WSMmQ', 'https://www.nitecore.com/', 'https://www.facebook.com/groups/1278398619305106'];https://www.kickstarter.com/projects/sysmax/cinewind?ref=discovery_category_newest&total_hits=453&category_id=333;NITECORE CW30| Cameras | Nitecore Cine Wind|The World's First Portable Cord-Free Camera Fan Powered by NP-F Batteries
55;AMKOV R5—Cost-effective Mirrorless Camera;Ended;2104%;Camera Equipment;Hong Kong, Hong Kong;October 26, 2023;AMKOV;['http://www.amkov.com/', 'https://r4.amkovcamera.com/', 'https://www.amkovcamera.com/'];https://www.kickstarter.com/projects/385604621/amkov-r5cost-effective-mirrorless-camera?ref=discovery_category_newest&total_hits=453&category_id=333;A camera with a macro function capable of shooting clear photos and 4K/60fps videos & Time lapse & Snapshot videos.
56;Mercury Stereo 12 Medium Format Stereoscopic Camera;Ended;374%;Camera Equipment;Pittsburgh, PA;March 2, 2024;Mercury Works;['https://www.mercurycamera.com/', 'https://www.shoot70mm.com/', 'https://www.zachhorton.com/'];https://www.kickstarter.com/projects/294564710/mercury-stereo-12-medium-format-stereoscopic-camera?ref=discovery_category_newest&total_hits=453&category_id=333;Interchangeable lens, interchangeable back universal camera for 3D photography
57;Calf - Professional 3D VR180 Camera;Ended;1956%;Camera Equipment;Singapore, Singapore;November 28, 2023;CALF;['https://vr180.calfglobal.com/'];https://www.kickstarter.com/projects/calf180vrcamera/calf-professional-3d-vr-180-camera?ref=discovery_category_newest&total_hits=453&category_id=333;8K Photo & 6K Video Resolution l Up to 185° Field of View -l Dual Premium Wide-Angle Lenses I Live Streaming I 50fps at 6k I Calf App
58;Meetingpro：3 in 1 audio and video conferencing system;Ended;101%;Camera Equipment;Hong Kong, Hong Kong;September 30, 2023;MeetingPro;[];https://www.kickstarter.com/projects/meetingpro/meetingpro-3-in-1-audio-and-video-conferencing-system?ref=discovery_category_newest&total_hits=453&category_id=333;1080P/30fps 120° wide-angle network camera/Six built-in noise-cancelling microphones/A high-quality Bluetooth 5.0 speaker
59;F-Zero Camera: Capture the Impossible;Ended;116%;Camera Equipment;Denver, CO;August 5, 2024;Nick Salazar;['https://www.fzerocamera.com/', 'https://www.stillside.com/', 'https://www.tririg.com/'];https://www.kickstarter.com/projects/nicksalazar/f-zero-camera-capture-the-impossible?ref=discovery_category_newest&total_hits=453&category_id=333;Bend the laws of physics and shoot effective apertures of f0.3 to f0.6
60;Multifunctional Outdoor 1080P Night Vision Video Recorder;Ended;501%;Camera Equipment;Hong Kong, Hong Kong;December 12, 2023;Capture&Outdoor;[];https://www.kickstarter.com/projects/1697352257/multifunctional-outdoor-1080p-night-vision-video-recorder?ref=discovery_category_newest&total_hits=453&category_id=333;4 shooting functions / 36h continuous shooting / rainproof / anti-fall / 2.4G wifi & APP
61;Platypod® Handle - Camera Riser and Adapter;Ended;1278%;Camera Equipment;East Brunswick, NJ;February 7, 2025;Larry Tiefenbrunn;['https://platypod.com/', 'https://www.platypod.com/pages/delta'];https://www.kickstarter.com/projects/platyball/platypod-handle-vloggers-grip-camera-riser?ref=discovery_category_newest&total_hits=453&category_id=333;Multifunction compact grip & tripod tool to adapt photography, video, lighting, sound and monitoring gear to your ballhead and camera.
